round	train	test
1	0.234421365	0.185714286
2	0.234421365	0.185714286
3	0.192878338	0.142857143
4	0.201780415	0.185714286
5	0.183976261	0.171428571
6	0.189910979	0.185714286
7	0.175074184	0.185714286
8	0.18694362	0.171428571
9	0.178041543	0.157142857
10	0.181008902	0.171428571
11	0.172106825	0.157142857
12	0.183976261	0.157142857
13	0.160237389	0.157142857
14	0.169139466	0.171428571
15	0.160237389	0.157142857
16	0.163204748	0.128571429
17	0.166172107	0.128571429
18	0.172106825	0.128571429
19	0.160237389	0.142857143
20	0.166172107	0.157142857
21	0.160237389	0.157142857
22	0.166172107	0.142857143
23	0.160237389	0.128571429
24	0.163204748	0.114285714
25	0.154302671	0.157142857
26	0.160237389	0.114285714
27	0.154302671	0.114285714
28	0.163204748	0.114285714
29	0.151335312	0.114285714
30	0.160237389	0.128571429
31	0.160237389	0.114285714
32	0.160237389	0.128571429
33	0.15727003	0.114285714
34	0.154302671	0.128571429
35	0.154302671	0.114285714
36	0.151335312	0.114285714
37	0.154302671	0.114285714
38	0.148367953	0.114285714
39	0.154302671	0.114285714
40	0.151335312	0.142857143
41	0.151335312	0.1
42	0.148367953	0.128571429
43	0.148367953	0.1
44	0.145400593	0.142857143
45	0.148367953	0.114285714
46	0.145400593	0.142857143
47	0.151335312	0.114285714
48	0.142433234	0.128571429
49	0.145400593	0.114285714
